time,class,RMS_ch1,MAV_ch1,RMS_ch2,MAV_ch2,RMS_ch3,MAV_ch3,RMS_ch4,MAV_ch4,RMS_ch5,MAV_ch5,RMS_ch6,MAV_ch6,RMS_ch7,MAV_ch7,RMS_ch8,MAV_ch8
65,0,6.770512732017542e-06,5.537493546144673e-06,2.533827061404182e-05,2.0941934295356763e-05,2.9618933242399127e-05,2.6281849678617217e-05,2.4622926079204837e-05,2.0465397224460808e-05,1.0004673795254876e-05,8.240174944231306e-06,8.554126577811981e-06,6.293434256932376e-06,6.281354074329794e-06,4.55633723906155e-06,8.01599211585952e-06,5.571817638975338e-06
117,0,9.616903078377498e-06,7.323377376222712e-06,2.1915920759744538e-05,1.8086544335106682e-05,2.7161668256118006e-05,2.3095956120817263e-05,2.3990064505011686e-05,1.7937701492393366e-05,9.928449918946951e-06,8.107953322556588e-06,4.441248026401506e-06,3.0351508807246196e-06,6.048596372492633e-06,4.525963857970047e-06,6.144528780070829e-06,5.0647821222954065e-06
170,0,1.1396012331909556e-05,9.460489870588773e-06,1.652149006492412e-05,1.2222271122087316e-05,2.2743933129753465e-05,1.7116460246319145e-05,2.1781825832909913e-05,1.5247149840043873e-05,1.0047018637303402e-05,7.694955232497652e-06,3.745438981952437e-06,2.8446379820568746e-06,8.400832168922646e-06,6.523642255464366e-06,6.139365511044938e-06,5.084787044768667e-06
222,0,1.1104096441982702e-05,8.723473599836898e-06,1.416840186771583e-05,9.122005458257793e-06,1.464595487800094e-05,1.265765401439493e-05,1.2326741214878451e-05,9.356849314034605e-06,8.917998639176908e-06,6.239212242385291e-06,5.0148508089648894e-06,3.4651228345315997e-06,9.133305389811903e-06,6.61374819247609e-06,3.7223507172182766e-06,2.856207758125669e-06
278,0,1.1644948882371577e-05,9.557801941982186e-06,1.6422713339866698e-05,1.184021617794012e-05,1.2849394176770458e-05,1.0846696775254233e-05,1.4202434423233232e-05,1.2305109782543145e-05,1.085830134669476e-05,8.443973487938261e-06,4.753576986541722e-06,3.3800537841741264e-06,7.193042280103075e-06,4.991482824668367e-06,7.1296974716726834e-06,5.499745987020731e-06
333,0,9.05471036659359e-06,7.451479225992333e-06,1.7257784868000203e-05,1.4337417001329804e-05,1.1165958181255965e-05,8.77617574707362e-06,1.9773417416425947e-05,1.6433641115469805e-05,1.0525124360239896e-05,8.985002299632864e-06,5.1659415836212865e-06,4.047860748944358e-06,5.231951151729797e-06,3.828501259382152e-06,1.0112867473169968e-05,8.462015831994532e-06
389,0,7.13044510687209e-06,5.713253564317229e-06,1.4670002612158648e-05,9.954605326926596e-06,1.572569868065922e-05,1.2521370242454904e-05,1.7123940670419466e-05,1.2062659499323835e-05,8.724191370651074e-06,7.347205157296898e-06,5.016818169900383e-06,3.815312433981671e-06,4.362412643338797e-06,3.508873782936387e-06,7.955288597184703e-06,5.699097503627415e-06
441,0,6.968817255569099e-06,5.623395679113454e-06,7.315716247876904e-06,5.06050246157565e-06,2.1413013401250778e-05,1.7051791570436456e-05,8.424591924683686e-06,6.290314095330593e-06,8.347020761547283e-06,6.584112926215694e-06,4.8167191675048254e-06,3.981961063283461e-06,5.472082179869737e-06,4.771514763339595e-06,3.091881579618841e-06,2.706272719413171e-06
494,0,5.29610852895175e-06,3.58702674088811e-06,1.3474002483897336e-05,9.935309937596098e-06,2.0209698195879376e-05,1.526368004935195e-05,1.3397051776913825e-05,9.6757091648852e-06,6.438194664400047e-06,4.776436309258263e-06,6.150323450668353e-06,5.026035358192908e-06,4.083637947714596e-06,3.0546324169290903e-06,5.136060123918391e-06,4.290741402822504e-06
549,0,3.6263183345269482e-06,2.4867654166796355e-06,1.3790703552602072e-05,1.0465398549803053e-05,1.4589547747703962e-05,1.1767306226805197e-05,1.5504057496721783e-05,1.2494418852698443e-05,7.733988522876045e-06,5.582778418448107e-06,7.911794323387118e-06,6.07062405015538e-06,3.6658987217630977e-06,2.403481362093035e-06,6.378725972864486e-06,5.265574765221504e-06
